patch_id,label,center_lon,center_lat,county_geoid,positive_pixels,area_m2,mean_confidence,max_confidence,bbox_width_m,bbox_height_m,voltage,substation_type,substation_name,operator,osm_id,geom_source,source,split
patch_0333865_1120279,positive,-112.02755767028576,33.386489836189355,4013,7831,2819.1600000002136,0.6348594427108765,0.9248046875,58.200000000002206,91.80000000000348,,detected,,,-1,model,local_inference,prediction
patch_0333808_1120476,positive,-112.04677573656296,33.380138428288156,4013,3183,1145.880000000087,0.8717994093894958,0.9912109375,33.00000000000125,40.20000000000152,,detected,,,-1,model,local_inference,prediction
patch_0333808_1120443,positive,-112.0453171313629,33.380337419714806,4013,14629,5266.440000000399,0.9399513602256775,1.0,68.40000000000259,85.20000000000323,,detected,,,-1,model,local_inference,prediction
patch_0334935_1120711,positive,-112.0702039049342,33.49323592327768,4013,572,205.92000000001562,0.5451617240905762,0.58740234375,19.200000000000728,18.600000000000705,,detected,,,-1,model,local_inference,prediction
patch_0334879_1120776,positive,-112.07863315844433,33.48782716893168,4013,2469,888.8400000000673,0.5793704986572266,0.6181640625,39.00000000000148,28.20000000000107,,detected,,,-1,model,local_inference,prediction
patch_0334852_1120677,positive,-112.06765533748049,33.485027124406606,4013,5324,1916.6400000001452,0.930107831954956,0.99853515625,54.000000000002046,40.20000000000152,,detected,,,-1,model,local_inference,prediction
patch_0334821_1121106,positive,-112.11000692213129,33.481989881291284,4013,25762,9274.320000000704,0.9709440469741821,0.9990234375,104.40000000000396,96.00000000000364,,detected,,,-1,model,local_inference,prediction
patch_0334823_1120776,positive,-112.07677566054836,33.48333019386067,4013,2328,838.0800000000635,0.5640636086463928,0.60009765625,29.400000000001114,49.80000000000189,,detected,,,-1,model,local_inference,prediction
patch_0334824_1120709,positive,-112.07126779321997,33.482338934654805,4013,3037,1093.3200000000827,0.8782572150230408,0.99462890625,40.20000000000152,33.00000000000125,,detected,,,-1,model,local_inference,prediction
patch_0334764_1121205,positive,-112.12015378404008,33.476354598276394,4013,2787,1003.3200000000761,0.5970101356506348,0.77587890625,30.60000000000116,69.00000000000261,,detected,,,-1,model,local_inference,prediction
patch_0334765_1121172,positive,-112.11831490903262,33.47646861020857,4013,5753,2071.080000000157,0.701450765132904,0.9853515625,51.00000000000193,45.000000000001705,,detected,,,-1,model,local_inference,prediction
patch_0334768_1120742,positive,-112.07416117496727,33.477129735555096,4013,3967,1428.1200000001083,0.7182731628417969,0.85009765625,35.40000000000134,57.00000000000216,,detected,,,-1,model,local_inference,prediction
patch_0334742_1120642,positive,-112.06558988160961,33.475361132013624,4013,4483,1613.8800000001224,0.8092860579490662,0.99462890625,53.400000000002024,34.80000000000132,,detected,,,-1,model,local_inference,prediction
patch_0334682_1121071,positive,-112.1059436128356,33.468668132801106,4013,1271,457.5600000000347,0.6249274015426636,0.8271484375,49.200000000001864,17.40000000000066,,detected,,,-1,model,local_inference,prediction
patch_0334575_1120706,positive,-112.07163361653265,33.458024861870214,4013,6141,2210.7600000001676,0.9072138667106628,0.99462890625,40.20000000000152,60.000000000002274,,detected,,,-1,model,local_inference,prediction
patch_0334546_1120772,positive,-112.07812033418168,33.45398579074594,4013,5585,2010.6000000001522,0.7893588542938232,0.97802734375,37.20000000000141,58.80000000000223,,detected,,,-1,model,local_inference,prediction
patch_0334519_1120739,positive,-112.07291761242602,33.45167423574137,4013,3311,1191.9600000000903,0.6428652405738831,0.81005859375,54.60000000000207,30.60000000000116,,detected,,,-1,model,local_inference,prediction
patch_0334404_1121200,positive,-112.1198972376159,33.440841775113455,4013,1746,628.5600000000477,0.5555991530418396,0.62548828125,36.60000000000139,29.400000000001114,,detected,,,-1,model,local_inference,prediction
patch_0334406_1120969,positive,-112.09539570037941,33.4408847671956,4013,2920,1051.2000000000796,0.6350477337837219,0.7861328125,29.400000000001114,51.600000000001955,,detected,,,-1,model,local_inference,prediction
patch_0334406_1120936,positive,-112.09393655003309,33.44111140088391,4013,3381,1217.1600000000922,0.5841504335403442,0.74072265625,50.40000000000191,34.200000000001296,,detected,,,-1,model,local_inference,prediction
patch_0334408_1120770,positive,-112.07824918747104,33.4417060726304,4013,21607,7778.52000000059,0.9702081084251404,0.9990234375,84.6000000000032,98.40000000000373,,detected,,,-1,model,local_inference,prediction
patch_0334408_1120770,positive,-112.07705467635374,33.44167586793463,4013,22885,8238.600000000624,0.9716718792915344,1.0,94.20000000000357,91.80000000000348,,detected,,,-1,model,local_inference,prediction
patch_0334379_1120935,positive,-112.09312462163282,33.43710326188452,4013,1071,385.5600000000292,0.5618439316749573,0.64453125,36.000000000001364,17.40000000000066,,detected,,,-1,model,local_inference,prediction
patch_0335014_1120582,positive,-112.05813219902385,33.50142157269118,4013,27439,9878.040000000748,0.951655924320221,1.0,132.000000000005,106.80000000000405,,detected,,,-1,model,local_inference,prediction
